StudentNumber,AgeGroup,HoursStudying,Mark,ExamTime
1163,36-45,4-5,86.33303045835098,129.47085004143003
2496,26-35,1-2,50.91899398576976,108.10097273775736
8964,over 45,2-3,98.65461923501586,139.27773546381158
5755,18-25,4-5,62.80091264708536,155.908366120772
1503,36-45,2-3,79.88910234878301,63.101368689536805
3708,18-25,1-2,85.55039799484783,138.8729968978191
7844,18-25,4-5,69.99094104454323,91.49350538249516
2577,18-25,4-5,73.65053713930253,128.0345975498454
7104,18-25,1-2,73.34409122513364,125.38825614343672
2881,over 45,4-5,73.8037191249029,81.18679416013558
1144,36-45,4-5,68.95530190964493,65.48063353709895
7450,18-25,2-3,98.49180777681202,98.26090847326644
3842,18-25,4-5,79.18847098745043,77.36776496038308
3074,over 45,4-5,98.31088161841215,70.39306925519529
2881,26-35,1-2,76.19356018512816,143.09451445583795
3787,26-35,1-2,67.42651844542664,98.06739315207156
3092,18-25,4-5,88.50857912800467,114.98874002513108
8666,26-35,1-2,81.497028040121,105.46524678286748
4447,18-25,4-5,96.80532118785078,65.35808041044561
5493,36-45,4-5,82.84785956705903,167.54417613440154
5783,36-45,1-2,43.36727528012537,91.0076100929969
1094,36-45,2-3,64.98130790223139,68.26773896093518
7541,36-45,2-3,44.73122640173457,81.72571158650564
9740,36-45,2-3,65.0296648302973,105.18592984759567
7225,18-25,2-3,66.66486069354465,105.8357015451513
6094,over 45,1-2,47.74632705015155,140.47228235197144
7470,36-45,4-5,91.4949012586114,179.48233821547544
4072,18-25,2-3,96.20153527901364,144.75593458208832
5600,36-45,4-5,62.97147681881984,60.24063660486706
7649,over 45,4-5,76.35501922862312,62.84997258374845
6870,36-45,2-3,74.61539044552444,177.30273514057555
7968,over 45,1-2,69.46524089352769,118.80353232209418
7981,over 45,2-3,83.15585990496173,100.67373487520288
4394,26-35,4-5,88.41677001434259,97.10360268832731
6861,36-45,1-2,47.4279253694534,170.7790225203919
6895,18-25,1-2,83.7050715579203,127.09510754052188
5400,18-25,1-2,73.86372483357239,73.74711270324816
1865,26-35,4-5,77.45628953780391,69.79017909177725
8002,36-45,1-2,65.97006146996314,126.84248728735984
5076,36-45,1-2,57.464687942844094,65.6314539148365
5495,26-35,4-5,78.62101012189345,81.29986401269153
9256,36-45,4-5,62.56888831774389,136.64199676080233
9037,over 45,4-5,45.648553836318406,162.25165094320204
1122,over 45,4-5,84.56890773261307,112.02817471024208
5894,36-45,1-2,63.06623588536596,80.861487584388
4719,26-35,4-5,80.98122034289361,133.42896062159747
9081,over 45,4-5,43.13881923701209,84.5201542874654
1643,over 45,1-2,59.08569272335674,79.45809713739996
5788,18-25,2-3,71.5690827788712,152.9490549145661
9809,over 45,1-2,76.52053846520144,133.1627516487079
3199,18-25,1-2,83.22791531087361,154.68953234892825
7330,over 45,2-3,95.3661691980012,127.0611612495741
4886,26-35,2-3,97.90475899451476,158.33539695721504
6746,over 45,1-2,62.2029500953369,163.41018293624722
4746,36-45,1-2,79.54507639918117,99.07157931490886
9005,18-25,4-5,63.65651375844947,65.52958085596357
6598,26-35,1-2,77.11325099763559,143.7669699356121
1264,18-25,4-5,81.96035957930707,113.54750594528326
7769,36-45,1-2,52.94351126312313,94.64911334542596
5280,26-35,4-5,80.47310136057042,101.84176195464852
5230,36-45,2-3,66.01773617028647,165.3085674795039
6982,36-45,1-2,57.13763783160229,125.22490924675576
1792,36-45,4-5,79.83290066034448,171.46677103024894
4697,26-35,2-3,75.78201870874202,168.43011252774463
9210,over 45,2-3,79.87483375772786,107.68937153312334
6172,over 45,4-5,52.36840235853024,66.39500528450853
9222,36-45,4-5,56.23612173323885,60.79536376867224
6213,over 45,1-2,79.8292914773904,120.43241388257822
6013,over 45,2-3,40.12093653164881,95.0364699714112
3845,36-45,4-5,72.3317917700456,69.90834637554885
6877,over 45,2-3,44.84307608723104,174.63662548664277
2368,18-25,2-3,88.40998970812377,86.03198081507863
2933,36-45,2-3,93.57497414462352,85.36088387742639
1242,over 45,4-5,68.55810568498327,128.60929947249772
3382,over 45,4-5,47.369146947271794,102.95814981355724
2406,36-45,2-3,94.54041156405415,131.56071869810506
8433,36-45,1-2,50.96946120778101,88.69138880710213
7688,18-25,1-2,67.30377505489655,108.46931037189154
4822,26-35,4-5,91.7785350970366,136.8608700616398
7056,36-45,2-3,65.18295478598677,67.48805505013775
5177,36-45,2-3,50.75199978192936,137.5472411106014
9941,36-45,1-2,49.37351581055776,169.75533730906704
9194,26-35,1-2,97.26856938643664,109.97155376552728
6085,36-45,4-5,63.69537443529849,175.46581239225873
6355,18-25,2-3,77.99665429350704,102.2280882009063
1881,18-25,4-5,68.01999295537253,100.90367211514294
1753,26-35,2-3,64.69512111303486,116.29834282461462
9944,36-45,4-5,44.61915195764105,68.21903766873517
3832,over 45,2-3,79.08633831525881,67.21116200439154
9700,36-45,1-2,65.10193121088021,74.7631867120506
7742,18-25,4-5,67.30635298625293,126.78585591817397
1685,26-35,2-3,57.97039676292347,85.53045319906076
4533,36-45,1-2,64.07520333114702,115.22237449791535
3726,over 45,4-5,83.4304520527028,131.34421299622682
1950,18-25,1-2,91.95120524618096,68.9876578356882
5606,over 45,2-3,52.748042460360494,133.0614048480267
3529,18-25,2-3,64.48695133843103,80.2684872677116
8602,26-35,2-3,63.117197248558085,88.78042886359091
5140,36-45,4-5,88.8717354176689,69.05155327620076
9860,over 45,4-5,80.98475721360508,145.65606241535522
4071,36-45,1-2,79.27317790575134,108.17173020836692
5553,over 45,1-2,37.93913709643069,86.56942550171345
5009,36-45,2-3,55.79064587473463,61.69350053020773
6518,over 45,1-2,74.03751224217979,61.745162769102585
6066,18-25,1-2,74.42819944114694,155.2249684746297
8418,over 45,1-2,57.53257459276847,116.37874747790012
2104,18-25,1-2,80.60123929570318,111.03489806715108
5032,36-45,1-2,93.02900426286745,114.93214574878154
2880,26-35,4-5,71.0991326838971,164.57991183480897
1963,36-45,2-3,41.23829319959155,164.84139418753048
9469,over 45,4-5,45.46186224675511,101.93168972877464
9219,over 45,4-5,63.4574809390816,142.20466137858892
2417,36-45,2-3,55.35975446907433,99.23430163754485
4075,over 45,1-2,57.79429166856218,68.05426506855335
1531,over 45,2-3,66.52719764398327,151.8325655642277
2949,36-45,1-2,88.2198616790063,75.06514319057011
4956,over 45,2-3,68.69959802347343,72.93669837804693
7938,36-45,4-5,72.52854473676766,171.41547110480514
2828,36-45,2-3,73.18798858018457,85.90628434958415
8416,18-25,4-5,60.67873694921531,132.42098166639
8741,18-25,1-2,91.36026982483486,119.91442050318037
3828,26-35,1-2,62.453541610146026,156.90144260121906
5091,36-45,2-3,52.06100835546059,169.72446896324283
5245,36-45,4-5,79.30890658264451,107.9501524622257
4093,over 45,1-2,94.33442758145168,77.07530245709356
4024,18-25,2-3,71.4737247467811,87.79272957529824
7612,18-25,1-2,96.8826023009439,90.6918885590822
5523,over 45,1-2,38.63627502867831,162.82920649739356
3989,over 45,4-5,54.86535617807114,122.13559272827112
1611,18-25,1-2,81.38986348942339,134.36723773528115
5115,over 45,1-2,43.11830783922679,167.82851881480133
2587,26-35,1-2,51.782725619778375,178.67580341232127
9223,over 45,4-5,48.61609589712539,63.18373506334383
5361,26-35,1-2,63.031533926184856,162.95667338861475
7208,18-25,4-5,66.17238200592473,91.13432200239208
7725,over 45,4-5,72.09963712363461,112.88049696061152
8856,over 45,1-2,71.5619482625808,156.5802679755664
2621,18-25,4-5,83.6761636112379,96.98005323951035
9631,36-45,2-3,69.26957380154147,171.87641637856558
2549,26-35,2-3,98.3846266652514,169.60442928684895
1839,18-25,2-3,75.71567601928844,161.8699952347054
1247,18-25,4-5,76.50576404236558,154.74528210227288
9208,26-35,4-5,61.03889169138342,156.6340771658623
6842,26-35,1-2,93.99703654126272,146.955013218773
1796,over 45,4-5,35.657255045691485,64.82746324694182
3235,26-35,4-5,86.88515503878966,168.6518073331477
3135,over 45,1-2,72.98316179899113,68.87014769202322
9497,18-25,2-3,97.424333870666,136.63735494636194
6435,36-45,1-2,76.54481956182293,85.68877946001126
7818,26-35,1-2,76.63703236927296,88.97950729044845
